financial_year,state,wage_price_index
2021-22,Australia,138.5
2021-22,New South Wales,138.9
2021-22,Victoria,140.7
2021-22,Queensland,139.1
2021-22,South Australia,139.7
2021-22,Western Australia,137.6
2021-22,Tasmania,141.5
2021-22,Northern Territory,139.5
2021-22,Australian Capital Territory,137.7
2021-22,Australia,139.3
2021-22,New South Wales,139.6
2021-22,Victoria,141.5
2021-22,Queensland,140.1
2021-22,South Australia,140.3
2021-22,Western Australia,138.7
2021-22,Tasmania,142.4
2021-22,Northern Territory,139.9
2021-22,Australian Capital Territory,138.2
2021-22,Australia,140.1
2022-23,New South Wales,141.5
2022-23,Victoria,143.5
2022-23,Queensland,142
2022-23,South Australia,142.8
2022-23,Western Australia,140.7
2022-23,Tasmania,144.8
2022-23,Northern Territory,141.8
2022-23,Australian Capital Territory,139.8
2022-23,Australia,142.1
2022-23,New South Wales,142.7
2022-23,Victoria,144.6
2022-23,Queensland,143.1
2022-23,South Australia,143.8
2022-23,Western Australia,141.8
2022-23,Tasmania,145.7
2022-23,Northern Territory,142.7
2022-23,Australian Capital Territory,141
2022-23,Australia,143.2
2022-23,New South Wales,143.7
2022-23,Victoria,145.6
2022-23,Queensland,144.3
2022-23,South Australia,144.7
2022-23,Western Australia,143.3
2022-23,Tasmania,147.3
2022-23,Northern Territory,143.6
2022-23,Australian Capital Territory,142.8
2022-23,Australia,144.3
2022-23,New South Wales,144.4
2022-23,Victoria,146.6
2022-23,Queensland,145.3
2022-23,South Australia,145.5
2022-23,Western Australia,144.5
2022-23,Tasmania,147.9
2022-23,Northern Territory,144.5
2022-23,Australian Capital Territory,143.7
2022-23,Australia,145.2
2023-24,New South Wales,146.9
2023-24,Victoria,148.8
2023-24,Queensland,148.7
2023-24,South Australia,148.4
2023-24,Western Australia,147.2
2023-24,Tasmania,151.2
2023-24,Northern Territory,147.7
2023-24,Australian Capital Territory,145.8
2023-24,Australia,147.9
2023-24,New South Wales,148.8
2023-24,Victoria,149.9
2023-24,Queensland,150
2023-24,South Australia,149.6
2023-24,Western Australia,148.4
2023-24,Tasmania,152
2023-24,Northern Territory,148.9
2023-24,Australian Capital Territory,146.5
2023-24,Australia,149.3
2023-24,New South Wales,149.7
2023-24,Victoria,150.8
2023-24,Queensland,151
2023-24,South Australia,150.2
2023-24,Western Australia,149.3
2023-24,Tasmania,154.5
2023-24,Northern Territory,149.5
2023-24,Australian Capital Territory,147.3
2023-24,Australia,150.2
2023-24,New South Wales,150.4
2023-24,Victoria,151.5
2023-24,Queensland,152
2023-24,South Australia,151.2
2023-24,Western Australia,150.5
2023-24,Tasmania,155.5
2023-24,Northern Territory,150
2023-24,Australian Capital Territory,149.6
2023-24,Australia,151.1
2024-25,New South Wales,152.2
2024-25,Victoria,153.6
2024-25,Queensland,154.5
2024-25,South Australia,153.2
2024-25,Western Australia,152.3
2024-25,Tasmania,157.2
2024-25,Northern Territory,152.2
2024-25,Australian Capital Territory,151.1
2024-25,Australia,153.1
2024-25,New South Wales,153.1
2024-25,Victoria,154.7
2024-25,Queensland,155.5
2024-25,South Australia,154.2
2024-25,Western Australia,153.3
2024-25,Tasmania,158
2024-25,Northern Territory,153.9
2024-25,Australian Capital Territory,151.9
2024-25,Australia,154.1
2024-25,New South Wales,154.4
2024-25,Victoria,155.8
2024-25,Queensland,156.5
2024-25,South Australia,155.5
2024-25,Western Australia,154.8
2024-25,Tasmania,159.4
2024-25,Northern Territory,154.5
2024-25,Australian Capital Territory,153.1
2024-25,Australia,155.3
2024-25,New South Wales,155.2
2024-25,Victoria,156.7
2024-25,Queensland,157.5
2024-25,South Australia,156.3
2024-25,Western Australia,156
2024-25,Tasmania,160.3
2024-25,Northern Territory,154.9
2024-25,Australian Capital Territory,155
2024-25,Australia,156.2
